SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
2407	1902	1713	1330	1327	1202	1702	2124	2956	2656	135	2358
3262	2655	3130	2858	3573	4528	4234	5762	9112	5465	308	6053
1037	404	440	836	555	611	713	648	852	844	13	689
419	292	404	279	235	313	277	488	849	279	27	465
3	1	1	0	0	0	2	3	5	6	2	4
3015	1739	2114	2263	2051	2206	2840	2891	4324	3596	119	3762
2571	975	1183	1807	1229	1189	1829	1481	1911	2634	55	1641
16	7	9	38	16	40	20	9	33	24	3	39
3863	1593	2125	2989	2451	2951	3128	2981	4734	4581	149	3623
77	28	22	16	9	16	38	28	37	46	6	28
1795	940	857	1043	795	638	1227	1203	1453	1531	35	1152
2146	1340	1424	1242	1496	1252	1804	1895	2608	2420	70	1885
3592	2665	3696	9914	8899	10084	4422	7751	10328	5075	302	9419
1441	874	855	1368	1028	1186	1225	1442	1951	1689	61	1519
34355	35952	39253	36718	37266	39686	31089	50295	80426	40988	6424	59044
650	140	191	285	208	185	406	247	341	478	8	260
6356	2053	1869	2325	1755	1573	3726	2411	3093	4849	77	2418
4113	4666	5141	4797	5592	6097	6464	8282	12153	6612	363	8490
